Date,year,max_customer,daily_ci,daily_ci_3day_avg,customer_minutes,total_min,total_max,rolling_max_customer,rolling_daily_ci,rolling_daily_ci_3_day_avg,rolling_customer_minutes,saifi_max_method_min,saifi_max_method_max,saifi_sum_method_min,saifi_sum_method_max,saifi_moving_avg_min,saifi_moving_avg_max,saidi_max,saidi_min,caidi_max_method,caidi_sum_method,caidi_moving_avg_method
2019-04-23,2019,344418,436430,427822,49463535,124059690,142667100,170450675,223971567,224074539.666667,39066635835,1.37394084250896,1.19474409306701,1.8053532698655,1.56988939285932,1.80618329504666,1.57061116169507,314.901930151526,273.830727862275,229.196134512228,174.426764782156,174.346607575834
2019-04-24,2019,370709,464597,473200.666666667,55921920,124059690,142667100,170655815,224445600,224778628.333333,39150701955,1.37559440137244,1.19618198589584,1.80917427731764,1.57321204398211,1.8118586974813,1.5755463476396,315.5795565425,274.41997457718,229.413231274891,174.432922521092,174.174485560708
2019-04-25,2019,404236,518575,634920,57453435,124059690,142667100,170937474,225918718,225470476,39319409505,1.37786475203993,1.19815622522642,1.82104854526075,1.58353760607736,1.81743542967099,1.58039573244287,316.939446688929,275.60250054147,230.022174687102,174.042283229493,174.388284455478
2019-04-26,2019,719329,921588,624720.666666668,105929850,124059690,142667100,171034870,226047110,226957029.333333,39358501065,1.37864982574114,1.19883890539585,1.82208346643458,1.58443754726913,1.82941799494528,1.59081546714928,317.254549523701,275.876505970893,230.1197473065,174.116364792277,173.418294998891
2019-04-27,2019,391044,433999,539102.000000001,78025110,124059690,142667100,172195176,228905260,230749557.666667,39651472800,1.38800263002431,1.20697186667424,1.84512197314051,1.60447124810135,1.85998818525717,1.6173985289297,319.616088029883,277.930039932122,230.27052047033,173.222200311168,171.837697982846
2019-04-28,2019,221279,261719,356228,33324540,124059690,142667100,173477679,237296303,236352331.666667,41076104115,1.39834041984145,1.21596134637909,1.9127591161964,1.66328679141862,1.90515010690956,1.65667019002045,331.099522455682,287.91574311807,236.780341723387,173.100480688905,173.791829449479
2019-04-29,2019,277757,372966,368311.666666667,34474875,124059690,142667100,174496368,242855432,242561417,42155309340,1.40655170104004,1.22310166814914,1.95756923139176,1.70225253054138,1.95519928350619,1.70019168399722,339.798602914452,295.480242746926,241.582732197612,173.581908351138,173.792311495278
2019-04-30,2019,355153,470250,482162,44377815,124059690,142667100,175148129,247532516,247017738,42680402985,1.41180530920237,1.22767007249744,1.9952695029304,1.73503573003166,1.99112006486555,1.73142748398194,344.031191638477,299.160794499923,243.6817522898,172.423420060902,172.782745605905
2019-05-01,2019,495531,603270,572251.666666667,68807805,124059690,142667100,175627454,250665266,250097824,43079461245,1.41566897354008,1.23102981696551,2.02052146027449,1.75699419137278,2.01594751687676,1.75301680625736,347.247855004313,301.95792334042,245.288878611199,171.860513155421,172.250444070237
2019-05-02,2019,507248,643235,584810,78020895,124059690,142667100,176513807,252095690,252177770,43302784815,1.42281354241656,1.23724255276795,2.03205158742538,1.76702049736765,2.03271320442603,1.76759582272297,349.04798500625,303.523270712028,245.322366283789,171.771222328315,171.715313427508
2019-05-03,2019,397534,507925,566597.333333333,54974295,124059690,142667100,177785271,253772354,253128323,44056666980,1.4330623508732,1.24615465653959,2.04556656557823,1.77877277942847,2.04037526613197,1.77425855715859,355.124754704772,308.807475444584,247.808306797249,173.607039086693,174.048745149708
2019-05-04,2019,429615,548632,544598.333333334,64553820,124059690,142667100,177705283,253516925,253437843.666667,44207419125,1.432417596723,1.24559399469114,2.04350764539231,1.77698239467964,2.04287019955206,1.77642808795207,356.339912867749,309.864146148621,248.768176042352,174.376598820769,174.431010323556
