Date,Year,CI,CMI,total_customers,rolling_CI,rolling_CMI,SAIFI,CAIDI,SAIDI
2007-05-23,2007,250241,24674923.7422,85436085,101159725,15927894345.7833,1.18403980004468,157.45292255177,186.430526934647
2007-05-24,2007,381917,30190265.1846,85436085,101234283,15934044434.1997,1.18491247579989,157.397711150873,186.502511605017
2007-05-25,2007,247399,27463504.2494,85436085,101172080,15931248628.6983,1.18418441107174,157.46684884504,186.469787662886
2007-05-26,2007,249806,24801509.21108,85436085,101200338,15933919838.4398,1.18451516124598,157.449274906965,186.501053254486
2007-05-27,2007,342433,48901548.7954,85436085,101216867,15934371143.2205,1.18470862750792,157.428021786334,186.506335621775
2007-05-28,2007,226342,19642193.47422,85436085,101361187,15929327348.0759,1.18639784348733,157.154112136393,186.447299733782
2007-05-29,2007,247941,21711149.74062,85436085,101479024,15945855195.5692,1.18777708505721,157.134495061454,186.640752506031
2007-05-30,2007,272484,26768378.4578,85436085,101473833,15946166662.6787,1.187716326187,157.145602873587,186.644398121458
2007-05-31,2007,317858,38661041.345,85436085,101442060,15944472742.7126,1.1873444341463,157.178124564038,186.624571370664
2007-06-01,2007,359009,41526718.2834,85436085,101387019,15935619403.77,1.18670019816568,157.176131234019,186.520946082326
2007-06-02,2007,428203,63001386.38582,85436085,100670825,15678292535.1142,1.17831739363994,155.738194607169,183.509023559708
2007-06-03,2007,520906,68666240.5884,85436085,100807965,15700690681.4454,1.179922570188,155.748513338658,183.771186161508
2007-06-04,2007,453360,49785153.7268,85436085,101318593,15773937493.7818,1.18589929536214,155.686503599412,184.628514915938
2007-06-05,2007,551046,62425207.0192,85436085,101412756,15787785825.68,1.1870014409017,155.6785008947,184.790604879426
2007-06-06,2007,374948,31217608.3077,85436085,101388469,15777096626.3232,1.18671716991714,155.610364590112,184.665491476151
2007-06-07,2007,379069,43538153.3598,85436085,101490118,15789226582.3135,1.18790693651283,155.574029210543,184.807468440454
2007-06-08,2007,620428,131184381.0194,85436085,101504306,15795791016.7528,1.18807300217467,155.616954976795,184.88430288856
2007-06-09,2007,320162,40894837.9264,85436085,101490169,15785499641.8666,1.1879075334503,155.537228850871,184.763845883933
2007-06-10,2007,309152,33743434.9356,85436085,101513750,15780852870.7806,1.1881835409476,155.455323744622,184.70945702604
2007-06-11,2007,356518,39705444.202,85436085,101555939,15785356913.7594,1.18867734868703,155.435093892041,184.762175300511
2007-06-12,2007,523062,55348920.3844,85436085,101594735,15798307311.3458,1.18913144252806,155.503209013201,184.913755251611
2007-06-13,2007,635101,80760457.8008,85436085,101563068,15796858277.2594,1.18876079118092,155.537427022778,184.896794805841
2007-06-14,2007,449036,43628257.5397,85436085,101548500,15782395257.4104,1.18859027774974,155.417315444447,184.727510131233
2007-06-15,2007,275673,23328575.7071,85436085,100812077,13843412210.7054,1.17997069973419,137.318986203463,162.03238023729
2007-06-16,2007,340335,37552974.26202,85436085,100784918,13470533384.8863,1.17965281297709,133.656241947692,157.667961785542
2007-06-17,2007,269677,30590054.49022,85436085,101345676,13528711090.0077,1.18621629256537,133.49075781001,158.348911821132
2007-06-18,2007,496420,55482555.12,85436085,101511326,13490536567.3405,1.18815516886103,132.896860862014,157.902092158606
2007-06-19,2007,623717,96388214.0582,85436085,101542230,13474615937.8302,1.18851688955551,132.699625937211,157.715746664073
2007-06-20,2007,401277,41761326.89902,85436085,101495828,13460512181.2694,1.1879737700996,132.621334753478,157.55066704273
2007-06-21,2007,390087,50521046.0722,85436085,101567396,13457342754.2728,1.18881144893285,132.496679882123,157.513569989458
2007-06-22,2007,310503,31296042.831,85436085,101546890,13443641953.507,1.18857143325329,132.388514837894,157.35320682715
2007-06-23,2007,298984,30363880.1156,85436085,101460426,13424129686.2469,1.18755940186164,132.309021511963,157.124822447645
2007-06-24,2007,292732,39967973.1506,85436085,101861003,13476681749.3357,1.19224801791889,132.304624462963,157.739926277471
2007-06-25,2007,487250,54737474.7906,85436085,101866119,13475102856.4103,1.19230789893989,132.282480069849,157.721445878639
2007-06-26,2007,457306,51815167.4946,85436085,101844245,13476569033.0983,1.19205187129068,132.325287826507,157.738606972666
2007-06-27,2007,772870,134671828.067,85436085,101834705,13460805347.6505,1.19194020887076,132.182887431652,157.554098454424
2007-06-28,2007,553786,66087132.615,85436085,101780403,13404620105.8638,1.19130462263106,131.701385637703,156.896469517111
2007-06-29,2007,324216,41658095.8032,85436085,101761543,13384836678.0308,1.19108387281557,131.531384877201,156.664911296332
2007-06-30,2007,215038,29023546.5946,85436085,101783318,13389113408.8346,1.19133874170381,131.54526372224,156.71496895995
2007-07-01,2007,278883,35763152.8408,85436085,101741468,13384044234.0103,1.19084890184282,131.549549039437,156.655636011532
2007-07-02,2007,285999,27003930.3276,85436085,101733680,13382041138.3877,1.19075774598052,131.539929926724,156.632190465981
2007-07-03,2007,282131,28849477.7729,85436085,101791412,13394602555.8877,1.19143347919091,131.58872927205,156.779217538909
2007-07-04,2007,377380,51023570.8034,85436085,101825722,13403759597.1518,1.19183506594433,131.634319245502,156.8863975585
2007-07-05,2007,573449,63749863.523,85436085,101945477,13427997223.6087,1.19323675704475,131.717439740939,157.170090642715
2007-07-06,2007,422641,47122393.0602,85436085,102124006,13456171806.4264,1.19532637760731,131.763062706592,157.499864447515
2007-07-07,2007,295980,38941533.7456,85436085,101900385,13424216692.1747,1.19270897068844,131.738625837132,157.125840822115
2007-07-08,2007,316381,38300252.0648,85436085,102001882,13431042464.0052,1.1938969581764,131.674457379181,157.205734134531
2007-07-09,2007,425176,44948096.5719,85436085,102075052,13453858819.7602,1.19475338786884,131.803595062192,157.472791733847
2007-07-10,2007,604087,117841782.3318,85436085,102226568,13482646174.7387,1.19652683055409,131.889844670699,157.809737826104
2007-07-11,2007,460304,56760288.8188,85436085,102406369,13526120159.1549,1.1986313394393,132.082801990127,158.318585866322
2007-07-12,2007,269897,30726557.6914,85436085,102479968,13541182994.6621,1.19949279042924,132.134926063425,158.494891176979
2007-07-13,2007,300547,33138769.7468,85436085,102511304,13549443089.0327,1.19985956753519,132.175112015283,158.591572741573
2007-07-14,2007,300227,35745929.8526,85436085,102502520,13552167877.8356,1.19975675383534,132.213021473381,158.623465457665
2007-07-15,2007,352599,46599546.66678,85436085,102410194,13541608159.911,1.19867610974918,132.229103676056,158.499867590036
2007-07-16,2007,366657,39947887.9944,85436085,102470644,13539115880.376,1.19938365621505,132.1267765271,158.470696314982
2007-07-17,2007,451474,51539896.3456,85436085,102421670,13533141393.1164,1.19881043238346,132.131622078769,158.400766995777
2007-07-18,2007,515460,70968342.4283,85436085,102280183,13486173907.9175,1.197154375695,131.855199241455,157.851028730044
2007-07-19,2007,617484,81873361.66422,85436085,102376620,13486951728.9647,1.1982831376227,131.738591574567,157.860132857968
2007-07-20,2007,270836,36932970.8382,85436085,102402300,13486333316.624,1.19858371319332,131.699515700565,157.852894554145
2007-07-21,2007,340657,32863229.835,85436085,102337534,13473682208.8632,1.19782564943138,131.659242530343,157.704817687552
2007-07-22,2007,205404,19153685.4872,85436085,102329769,13472971255.8243,1.19773476277617,131.662285447202,157.696496226674
2007-07-23,2007,282839,26254701.549,85436085,102340923,13472402906.5291,1.19786531651117,131.64238226119,157.689843893585
2007-07-24,2007,338018,32543232.0607,85436085,102335439,13471718321.9494,1.1978011281767,131.64274716161,157.681831066456
2007-07-25,2007,340549,31139088.4484,85436085,102290597,13469542638.108,1.19727626798442,131.679186876854,157.656365435143
2007-07-26,2007,375641,56429991.89838,85436085,102323405,13484699848.3074,1.19766027434427,131.785096951254,157.833775369124
2007-07-27,2007,418763,60247259.1426,85436085,102363682,13499630459.2519,1.19813170278109,131.879101996858,158.008533036736
2007-07-28,2007,304037,47131968.77062,85436085,102346354,13498333104.6385,1.19792888449886,131.888753991554,157.993347947047
2007-07-29,2007,326787,38849301.5184,85436085,102417441,13508836669.9759,1.19876093339249,131.899767637974,158.11628856795
2007-07-30,2007,466694,53267982.82282,85436085,102618111,13532380421.2476,1.20110970674745,131.87126803813,158.391860081693
2007-07-31,2007,299245,32864154.6862,85436085,102980364,13597024602.6984,1.20534975356139,132.035118876628,159.148497999392
2007-08-01,2007,368882,42587397.483,85436085,103570065,13709505597.3408,1.21225200101339,132.369382961581,160.465049368084
2007-08-02,2007,354096,37753373.50002,85436085,103666107,13730849856.0176,1.2133761396019,132.452642945468,160.714876577241
2007-08-03,2007,431170,56859895.6328,85436085,103965957,13794555504.8178,1.21688578075646,132.683388898328,161.460529292954
2007-08-04,2007,322820,32738911.4932,85436085,103998383,13806265369.438,1.21726531593764,132.754615708189,161.597589232208
2007-08-05,2007,374272,54945366.4658,85436085,104112646,13829161907.9498,1.21860272506635,132.82883913977,161.865585343123
2007-08-06,2007,293898,28987951.7285,85436085,104142502,13827883948.2391,1.21895217928116,132.778487962956,161.850627264102
2007-08-07,2007,327831,44918300.9725,85436085,104281092,13863520597.9947,1.22057432758067,132.943761252469,162.267741996777
2007-08-08,2007,644171,92433328.0642,85436085,104599972,13944568870.8173,1.22430670834227,133.313313609847,163.216384163872
2007-08-09,2007,713171,121365337.266,85436085,104691120,13956407257.486,1.22537356434345,133.310325245216,163.354948409515
2007-08-10,2007,387898,57999559.9904,85436085,104662878,13954165710.7472,1.22504300144371,133.324880582275,163.328711875635
2007-08-11,2007,262943,32189429.9526,85436085,104640466,13959531940.1368,1.22478067668948,133.40471878381,163.391521745605
2007-08-12,2007,257528,34447993.999,85436085,105229719,14110207741.2126,1.23167768045551,134.089569708084,165.155130191331
2007-08-13,2007,306995,31848815.281,85436085,105224963,14128617661.2886,1.23162201311074,134.270588066528,165.370611976059
2007-08-14,2007,320651,31032089.66048,85436085,105329849,14159988202.8726,1.23284966767848,134.434714730035,165.737793379374
2007-08-15,2007,282766,26714085.8698,85436085,105240920,14073965213.9693,1.23180878430935,133.730921527191,164.730923870977
2007-08-16,2007,531412,97763616.26962,85436085,104985175,13873723346.5743,1.22881537701546,132.149356769414,162.387161660958
2007-08-17,2007,482173,66783554.3652,85436085,104889803,13842856835.8377,1.22769908054659,131.975239154922,162.025879765414
2007-08-18,2007,296110,33179710.1164,85436085,104891172,13839127275.3178,1.22771510422089,131.937960187134,161.982226541839
2007-08-19,2007,295607,39962673.4962,85436085,105049275,13863973810.2232,1.22956564547638,131.975911401799,162.273046690087
2007-08-20,2007,495668,64307571.677,85436085,105190369,13878304072.051,1.23121710223496,131.935121095078,162.440777477701
2007-08-21,2007,511209,72270902.0582,85436085,105128673,13878152774.0139,1.23049497176749,132.011109604835,162.439006586197
2007-08-22,2007,340396,44069457.4018,85436085,105059943,13872702943.6559,1.22969051074847,132.04559747054,162.375218195636
2007-08-23,2007,391082,59608711.1726,85436085,105036589,13857721033.7594,1.22941716020813,131.932321543299,162.199860091428
2007-08-24,2007,335006,42860941.8428,85436085,104775723,13818439587.3113,1.22636381336996,131.885891040917,161.740084266634
2007-08-25,2007,607007,155570087.0056,85436085,104708682,13813947871.3728,1.22557912151522,131.927435314034,161.687510275931
2007-08-26,2007,307831,48229906.0552,85436085,104580343,13797613256.7298,1.22407695764618,131.933142127195,161.496319227757
2007-08-27,2007,300534,35019962.24118,85436085,104427593,13763506098.9902,1.2222890714152,131.799514894403,161.097106673254
2007-08-28,2007,254974,26695045.0976,85436085,104643194,13773605479.0562,1.22481260699153,131.624475061954,161.215316444523
2007-08-29,2007,397177,47357012.1641,85436085,104628628,13771722026.6767,1.22464211696966,131.624798011082,161.193271281996
2007-08-30,2007,435067,50963412.2142,85436085,104657566,13772053733.8899,1.2249808263101,131.591572977054,161.197153800878
2007-08-31,2007,327630,44052836.7145,85436085,104480146,13734533485.9578,1.22290418621125,131.455917815791,160.757992199172
2007-09-01,2007,286917,41911172.8576,85436085,104094177,13673470346.3466,1.21838655177142,131.356726576037,160.043269144959
2007-09-02,2007,239634,47647557.533,85436085,104156638,13672767461.9756,1.21911763630087,131.271205796558,160.035042125065
2007-09-03,2007,353696,74899905.01982,85436085,104378994,13690850454.6066,1.22172023682967,131.164805579623,160.246697336455
2007-09-04,2007,311806,37966033.8266,85436085,104735907,13769782470.0699,1.22589778077963,131.471458685796,161.170569438779
2007-09-05,2007,360862,39976306.1724,85436085,104981094,13821341662.8072,1.2287676103136,131.6555308788,161.774052062512
2007-09-06,2007,243789,24689463.80962,85436085,104998076,13824427201.1888,1.2289663787848,131.663624019061,161.810167228389
2007-09-07,2007,294362,31686722.3014,85436085,105142009,13838294179.5017,1.23065106506226,131.615272630958,161.972475441749
2007-09-08,2007,229934,30846613.60122,85436085,105583931,13957322011.0657,1.23582361012914,132.191725377848,163.365655285652
2007-09-09,2007,248514,30125615.88602,85436085,105707218,13996680805.1801,1.23726664207518,132.409887139212,163.826336438287
2007-09-10,2007,203323,19573381.4462,85436085,105663347,13992358870.4762,1.23675314710406,132.42396032066,163.77574967856
2007-09-11,2007,368815,37559936.8792,85436085,105581548,13984422550.6254,1.23579571793347,132.451387723784,163.682857783399
2007-09-12,2007,173341,18716090.3816,85436085,105581624,13983964700.9358,1.23579660748734,132.446955929905,163.677498810201
2007-09-13,2007,181704,20791843.1851,85436085,105434923,13971661112.2078,1.23407952272158,132.514547501569,163.533489534402
2007-09-14,2007,290381,29828716.1642,85436085,105353978,13961887486.1634,1.23313208932736,132.523590956987,163.419092601954
2007-09-15,2007,235016,29184817.5608,85436085,105316851,13969782716.6114,1.23269753055749,132.645275508773,163.511503559782
2007-09-16,2007,158860,17692143.4133,85436085,105283954,13964810383.3195,1.23231248248325,132.639493985185,163.453304108205
2007-09-17,2007,170940,14674694.0941,85436085,105415350,13976397203.326,1.23385042748623,132.584080054053,163.588923852562
2007-09-18,2007,215358,16849353.6015,85436085,105492121,13984447733.1952,1.23474900564557,132.563907149001,163.68315253672
2007-09-19,2007,231070,19843219.9126,85436085,105643269,14004432816.9117,1.23651814101735,132.56341790135,163.917071070282
2007-09-20,2007,176379,17582617.3089,85436085,105667329,14005377598.2775,1.23679975504496,132.542174869183,163.928129411331
2007-09-21,2007,273439,30039731.3896,85436085,105557918,13998570098.8083,1.23551913690802,132.615064450289,163.848449970622
2007-09-22,2007,298328,34739258.5089,85436085,105505003,13994618339.8833,1.23489978502643,132.644120581498,163.802195991112
2007-09-23,2007,184158,19309989.1276,85436085,105473103,13991974604.8217,1.2345264064944,132.659172877674,163.771251981194
2007-09-24,2007,233746,20139380.5985,85436085,105462134,13990112857.8497,1.2343980181208,132.655317384813,163.749460872999
