Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-03-31,4,Midwest,SERC,1,638,54522,17620802
2023,2023-03-31,5,Southwest,WECC,1,227,32018,6837866.22
2023,2023-03-31,6,South,SERC,1,426,21611,6830994
2023,2023-03-31,6,South,SPP RE,2,1005,65359,10477393
2023,2023-03-26,2,Mid-Atlantic,RFC,1,204,4480,6314247
2023,2023-03-25,2,Mid-Atlantic,RFC,11,6515,646204,580396584.9
2023,2023-03-25,4,Midwest,RFC,1,871,43601,24806713.49
2023,2023-03-21,5,Southwest,WECC,1,1083,450874,247639344
2023,2023-03-15,5,Southwest,WECC,1,103,25852,6024985.28
2023,2023-03-14,1,Northeast,NPCC,2,1410,172296,77279643
2023,2023-03-14,5,Southwest,WECC,1,1211,508411,416895232
2023,2023-03-09,5,Southwest,WECC,1,383,95087,92589900
2023,2023-03-07,2,Mid-Atlantic,RFC,1,347,16847,6002647
2023,2023-03-04,1,Northeast,NPCC,1,419,70712,30303542
2023,2023-03-04,2,Mid-Atlantic,RFC,5,794,68768,39026050
2023,2023-03-04,4,Midwest,RFC,1,1383,44685,29160824.93
2023,2023-03-03,2,Mid-Atlantic,RFC,10,3085,302427,243025233.6
2023,2023-03-03,3,Southeast,SERC,1,616,26307,7949978
2023,2023-03-03,4,Midwest,RFC,4,4701,247160,248572051.1
2023,2023-03-03,4,Midwest,SERC,1,696,50578,11758046
2023,2023-03-02,6,South,TRE,1,356,31966,6951205
2023,2023-02-28,4,Midwest,RFC,1,1155,26615,23145837
2023,2023-02-28,5,Southwest,WECC,1,580,70346,115645996
2023,2023-02-28,7,Northwest,WECC,1,156,40090,12844476.46
2023,2023-02-27,4,Midwest,RFC,2,2707,114555,107298801.7
2023,2023-02-27,5,Southwest,WECC,1,489,66883,122362009
2023,2023-02-26,5,Southwest,SPP RE,1,393,33712,10493629.59
2023,2023-02-26,5,Southwest,WECC,1,211,24441,32195850
2023,2023-02-26,6,South,SPP RE,1,84,12628,3529051
2023,2023-02-25,5,Southwest,WECC,1,326,48967,29556747
2023,2023-02-24,4,Midwest,RFC,2,1541,47993,72693204.11
2023,2023-02-24,5,Southwest,WECC,1,1031,183441,196157069
2023,2023-02-23,4,Midwest,RFC,3,5852,331803,652215868.9
2023,2023-02-23,5,Southwest,WECC,1,437,70886,68702624
2023,2023-02-23,7,Northwest,,1,49,865,1733355.59
2023,2023-02-22,4,Midwest,RFC,4,8199,634422,1464146223
2023,2023-02-22,5,Southwest,WECC,1,127,54362,2712086
2023,2023-02-21,2,Mid-Atlantic,RFC,1,199,13016,4504859
2023,2023-02-21,5,Southwest,WECC,2,960,350651,207932803.2
2023,2023-02-20,7,Northwest,WECC,1,116,62563,14855126.01
2023,2023-02-19,5,Southwest,WECC,1,61,19394,2747734
2023,2023-02-09,2,Mid-Atlantic,RFC,1,322,23366,4826433.34
2023,2023-02-09,4,Midwest,RFC,1,230,26165,4858395.02
2023,2023-02-03,6,South,SERC,1,625,14311,11499170
2023,2023-02-02,3,Southeast,SERC,1,548,18628,15873547
2023,2023-02-01,3,Southeast,SERC,1,117,6546,9783048
2023,2023-02-01,6,South,SERC,2,371,18269,21665555
2023,2023-01-27,4,Midwest,MRO,1,2,1972,878218.125
2023,2023-01-25,6,South,SERC,2,2768,43376,44066124
2023,2023-01-24,6,South,SERC,2,637,29760,13218943
2023,2023-01-24,6,South,SPP RE,1,232,27746,15962859
2023,2023-01-23,1,Northeast,NPCC,1,309,32464,20140173
2023,2023-01-14,5,Southwest,WECC,1,433,117194,32957579
2023,2023-01-10,5,Southwest,WECC,1,1014,296468,175440256
2023,2023-01-09,5,Southwest,WECC,1,685,180670,79870025
2023,2023-01-09,7,Northwest,WECC,1,207,51103,12177700
2023,2023-01-08,5,Southwest,WECC,1,638,140214,85779561
2023,2023-01-07,5,Southwest,WECC,1,627,174829,93664927
2023,2023-01-05,5,Southwest,WECC,1,500,93732,41975338
2023,2023-01-04,5,Southwest,WECC,1,1475,419853,337785347
2023,2023-01-04,7,Northwest,WECC,1,188,59069,15145527
2023,2023-01-02,5,Southwest,WECC,1,186,11543,25886606.4
2023,2023-01-01,5,Southwest,WECC,1,359,19099,28597767
2022,2022-12-31,5,Southwest,WECC,2,1199,415007,325204190.6
2022,2022-12-28,5,Southwest,WECC,1,331,20713,9152654.45
2022,2022-12-28,7,Northwest,,1,17,2042,887765.29
2022,2022-12-27,0,Multiple or Unknown,WECC,1,586,62488,36968736.61
2022,2022-12-27,7,Northwest,,1,39,8969,4702014.06
2022,2022-12-27,7,Northwest,WECC,2,2021,204534,133745036.4
2022,2022-12-26,0,Multiple or Unknown,WECC,1,100,12695,4804156.633
2022,2022-12-26,7,Northwest,,1,26,3495,646739.5
2022,2022-12-26,7,Northwest,WECC,1,309,78073,22088183
2022,2022-12-24,1,Northeast,NPCC,1,375,11489,12903355
2022,2022-12-23,1,Northeast,NPCC,3,2713,296081,174900636
2022,2022-12-23,2,Mid-Atlantic,RFC,15,6866,595643,272385079.9
2022,2022-12-23,2,Mid-Atlantic,SERC,1,466,40360,5286458.25
2022,2022-12-23,3,Southeast,,1,45,4723,575114
2022,2022-12-23,4,Midwest,RFC,1,345,18359,2275398.6
2022,2022-12-23,6,South,SERC,2,731,47876,14025549
2022,2022-12-23,7,Northwest,WECC,1,161,24741,17017572
2022,2022-12-22,3,Southeast,SERC,1,322,12704,6686677
2022,2022-12-22,6,South,SERC,2,526,50654,13790382
2022,2022-12-22,6,South,SPP RE,2,482,55018,10906145
2022,2022-12-22,7,Northwest,WECC,1,314,46288,16448933.45
2022,2022-12-20,5,Southwest,WECC,1,147,11193,5932804
2022,2022-12-17,1,Northeast,NPCC,1,474,34524,13713767
2022,2022-12-17,2,Mid-Atlantic,RFC,2,104,3904,6667541
2022,2022-12-16,1,Northeast,NPCC,1,437,36914,20181721
2022,2022-12-16,2,Mid-Atlantic,RFC,2,185,9544,6940144
2022,2022-12-16,4,Midwest,MRO,2,420,12228,6001820.92
2022,2022-12-15,2,Mid-Atlantic,RFC,4,1096,86847,96093976
2022,2022-12-15,4,Midwest,MRO,4,1413,112625,62109693.29
2022,2022-12-14,4,Midwest,MRO,1,95,10707,1805220
2022,2022-12-14,6,South,SERC,1,227,26943,14773305
2022,2022-12-10,5,Southwest,WECC,1,620,173462,47499353
2022,2022-12-03,2,Mid-Atlantic,RFC,1,149,23243,9111281
2022,2022-12-03,7,Northwest,WECC,1,182,38977,10658537
2022,2022-11-30,2,Mid-Atlantic,RFC,1,358,20162,4801615
2022,2022-11-30,7,Northwest,WECC,1,234,25262,10461221
2022,2022-11-29,7,Northwest,WECC,2,434,151264,50260666.26
2022,2022-11-27,2,Mid-Atlantic,RFC,1,140,5885,3325099
2022,2022-11-10,3,Southeast,FRCC,1,2563,220507,79434807.07
2022,2022-11-10,4,Midwest,MRO,1,24,1222,403629
2022,2022-11-07,7,Northwest,WECC,1,40,14125,6232651.967
2022,2022-11-05,2,Mid-Atlantic,RFC,2,226,14073,2791002.79
2022,2022-11-05,4,Midwest,RFC,6,5512,425755,251315158.7
2022,2022-11-05,4,Midwest,SERC,1,554,16714,4345721
2022,2022-11-05,7,Northwest,WECC,3,628,108281,42890767.74
2022,2022-11-04,6,South,SPP RE,2,416,37056,15115969
2022,2022-11-04,7,Northwest,WECC,3,1275,463239,275898878.3
2022,2022-10-27,7,Northwest,WECC,1,285,85043,15289580.12
2022,2022-10-23,7,Northwest,WECC,1,134,9808,2543391
2022,2022-10-15,5,Southwest,WECC,1,78,26607,1802983
2022,2022-10-03,3,Southeast,FRCC,1,836,19407,5199691.12
2022,2022-10-03,5,Southwest,WECC,1,233,87858,12841742
2022,2022-10-02,3,Southeast,FRCC,1,972,29904,12807027.65
2022,2022-10-01,3,Southeast,FRCC,1,1321,44179,30909425.58
2022,2022-09-30,2,Mid-Atlantic,RFC,1,319,24509,26724096
2022,2022-09-30,3,Southeast,FRCC,1,1490,86621,75727327.21
2022,2022-09-29,3,Southeast,FRCC,1,3394,317959,480946724.4
2022,2022-09-28,3,Southeast,FRCC,1,3344,369111,787980445.4
2022,2022-09-24,2,Mid-Atlantic,RFC,1,6,48,2579
2022,2022-09-18,4,Midwest,SERC,1,183,12756,4999418
2022,2022-09-11,5,Southwest,WECC,1,84,37649,2884850
2022,2022-09-09,0,Multiple or Unknown,WECC,1,38,3136,309452.924
2022,2022-09-09,7,Northwest,WECC,1,137,11626,8642795.017
2022,2022-09-07,5,Southwest,WECC,1,218,63014,33599660
2022,2022-09-06,5,Southwest,WECC,1,406,183568,34532131
2022,2022-09-02,0,Multiple or Unknown,WECC,1,29,3004,12226643.93
2022,2022-08-30,4,Midwest,RFC,2,1651,99663,127731302.5
2022,2022-08-29,2,Mid-Atlantic,RFC,1,132,13780,5757980
2022,2022-08-29,4,Midwest,RFC,4,5295,510745,847996354.2
2022,2022-08-27,4,Midwest,MRO,1,339,32488,11673083.35
2022,2022-08-23,6,South,TRE,1,101,1013,156852
2022,2022-08-12,5,Southwest,WECC,1,97,27238,1631974
2022,2022-08-09,2,Mid-Atlantic,RFC,2,177,26758,3236256
2022,2022-08-03,2,Mid-Atlantic,RFC,1,60,5181,1707352
2022,2022-08-03,4,Midwest,MRO,2,903,85863,33670666
2022,2022-08-03,4,Midwest,RFC,2,1923,137445,106068505.3
2022,2022-08-03,6,South,SERC,1,588,27685,11247963
2022,2022-08-02,4,Midwest,MRO,1,41,4081,2713045.86
2022,2022-08-01,2,Mid-Atlantic,RFC,1,91,9280,5000395
