Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2022,2022-12-24,1,Northeast,NPCC,1,378,11723,12931080
2022,2022-12-23,1,Northeast,NPCC,3,2742,319336,180189133
2022,2022-12-23,2,Mid-Atlantic,RFC,15,6959,662510,285751389.9
2022,2022-12-23,2,Mid-Atlantic,SERC,1,544,131639,11517516.32
2022,2022-12-23,3,Southeast,,1,45,4723,575114
2022,2022-12-23,4,Midwest,RFC,1,345,18359,2275398.6
2022,2022-12-23,6,South,SERC,2,743,47888,14025973
2022,2022-12-23,7,Northwest,WECC,1,163,29942,19471419
2022,2022-12-22,3,Southeast,SERC,1,322,12704,6686677
2022,2022-12-22,6,South,SERC,2,527,51182,14153260
2022,2022-12-22,6,South,SPP RE,2,490,59074,11131107
2022,2022-12-22,7,Northwest,WECC,1,314,46288,16448933.45
2022,2022-12-20,5,Southwest,WECC,1,169,79144,80084575
2022,2022-12-17,1,Northeast,NPCC,1,501,55157,19819409
2022,2022-12-17,2,Mid-Atlantic,RFC,2,104,3904,6667541
2022,2022-12-16,1,Northeast,NPCC,1,448,50753,30055244
2022,2022-12-16,2,Mid-Atlantic,RFC,2,191,13156,7207432
2022,2022-12-16,4,Midwest,MRO,2,420,12228,6001820.92
2022,2022-12-15,2,Mid-Atlantic,RFC,4,1099,88004,96283284
2022,2022-12-15,4,Midwest,MRO,4,1422,114254,62453025.29
2022,2022-12-14,4,Midwest,MRO,1,95,10707,1805220
2022,2022-12-14,6,South,SERC,1,237,27026,14820922
2022,2022-12-10,5,Southwest,WECC,1,628,213253,53076032
2022,2022-12-03,2,Mid-Atlantic,RFC,1,149,23243,9111281
2022,2022-12-03,7,Northwest,WECC,1,183,39735,11695557
2022,2022-11-30,2,Mid-Atlantic,RFC,1,358,20162,4801615
2022,2022-11-30,7,Northwest,WECC,1,240,29479,12239700
2022,2022-11-29,7,Northwest,WECC,2,438,159228,50352265.26
2022,2022-11-27,2,Mid-Atlantic,RFC,1,143,8275,5446669
2022,2022-11-10,3,Southeast,FRCC,1,2567,224776,79806672.48
2022,2022-11-10,4,Midwest,MRO,1,42,4652,948977
2022,2022-11-07,7,Northwest,WECC,1,40,14125,6232651.967
2022,2022-11-05,2,Mid-Atlantic,RFC,2,244,38780,6375206.07
2022,2022-11-05,4,Midwest,RFC,6,5529,432083,252547175.1
2022,2022-11-05,4,Midwest,SERC,1,556,16738,4349154
2022,2022-11-05,7,Northwest,WECC,3,628,108281,42890767.74
2022,2022-11-04,6,South,SPP RE,2,423,39121,15590919
2022,2022-11-04,7,Northwest,WECC,3,1299,494845,285360093.5
2022,2022-10-27,7,Northwest,WECC,1,295,91105,15572707.47
2022,2022-10-23,7,Northwest,WECC,1,154,12458,2772489
2022,2022-10-15,5,Southwest,WECC,1,78,26607,1802983
2022,2022-10-03,3,Southeast,FRCC,1,836,19407,5199691.12
2022,2022-10-03,5,Southwest,WECC,1,233,87858,12841742
2022,2022-10-02,3,Southeast,FRCC,1,972,29904,12807027.65
2022,2022-10-01,3,Southeast,FRCC,1,1321,44179,30909425.58
2022,2022-09-30,2,Mid-Atlantic,RFC,1,319,24509,26724096
